"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","31026899","24154663","50","1000","12000","Thread-Local"
"3-lock","37681834","16282400","50","1000","12000","Thread-Local"
"4-condition","41807925","35149298","100","1000","12000","Thread-Local"
"3-lock","51557437","25009013","100","1000","12000","Thread-Local"
"4-condition","49606483","44230749","150","1000","12000","Thread-Local"
"3-lock","56703588","29130866","150","1000","12000","Thread-Local"
"4-condition","63161147","57595261","200","1000","12000","Thread-Local"
"3-lock","65439967","35393374","200","1000","12000","Thread-Local"
"4-condition","71746583","67539667","250","1000","12000","Thread-Local"
"3-lock","72165437","41112849","250","1000","12000","Thread-Local"
"4-condition","82046644","78895476","300","1000","12000","Thread-Local"
"3-lock","80082598","47241605","300","1000","12000","Thread-Local"
"4-condition","104789622","102219394","350","1000","12000","Thread-Local"
"3-lock","99090416","59598572","350","1000","12000","Thread-Local"
"4-condition","108445967","105868695","400","1000","12000","Thread-Local"
"3-lock","107739837","67043192","400","1000","12000","Thread-Local"
"4-condition","114181978","113634584","450","1000","12000","Thread-Local"
"3-lock","118537149","73803223","450","1000","12000","Thread-Local"
"4-condition","127093470","130316336","500","1000","12000","Thread-Local"
"3-lock","130360996","83474069","500","1000","12000","Thread-Local"
