"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","381031406","343349076","50","1000","60000","Global"
"3-lock","260702515","115691770","50","1000","60000","Global"
"4-condition","146291514","129276899","100","1000","60000","Global"
"3-lock","119826464","48062758","100","1000","60000","Global"
"4-condition","525271339","485042646","150","1000","60000","Global"
"3-lock","410108013","222620497","150","1000","60000","Global"
"4-condition","631004632","594842187","200","1000","60000","Global"
"3-lock","535364799","316854110","200","1000","60000","Global"
"4-condition","511501830","482977224","250","1000","60000","Global"
"3-lock","449758254","255765039","250","1000","60000","Global"
"4-condition","602595515","583263320","300","1000","60000","Global"
"3-lock","569517437","343277915","300","1000","60000","Global"
"4-condition","100736319","90807478","350","1000","60000","Global"
"3-lock","100118109","40355925","350","1000","60000","Global"
"4-condition","686949590","681743042","400","1000","60000","Global"
"3-lock","705182422","436826628","400","1000","60000","Global"
"4-condition","726268315","743894923","450","1000","60000","Global"
"3-lock","839713366","476706804","450","1000","60000","Global"
"4-condition","771883254","788477514","500","1000","60000","Global"
"3-lock","920856706","548157034","500","1000","60000","Global"
