"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","236131758","214055619","50","1000","60000","Thread-Local"
"3-lock","172190555","73831977","50","1000","60000","Thread-Local"
"4-condition","366074261","339109614","100","1000","60000","Thread-Local"
"3-lock","241109806","114297721","100","1000","60000","Thread-Local"
"4-condition","412395443","386438663","150","1000","60000","Thread-Local"
"3-lock","313354589","160952319","150","1000","60000","Thread-Local"
"4-condition","440350546","417718420","200","1000","60000","Thread-Local"
"3-lock","364150813","198433088","200","1000","60000","Thread-Local"
"4-condition","499450245","476095733","250","1000","60000","Thread-Local"
"3-lock","409674964","233558662","250","1000","60000","Thread-Local"
"4-condition","547959454","529507463","300","1000","60000","Thread-Local"
"3-lock","458885348","269971282","300","1000","60000","Thread-Local"
"4-condition","604327992","586341025","350","1000","60000","Thread-Local"
"3-lock","559652975","341694974","350","1000","60000","Thread-Local"
"4-condition","611383178","601810275","400","1000","60000","Thread-Local"
"3-lock","536490831","325670815","400","1000","60000","Thread-Local"
"4-condition","622070924","620382743","450","1000","60000","Thread-Local"
"3-lock","594042568","366561244","450","1000","60000","Thread-Local"
"4-condition","687968805","697796582","500","1000","60000","Thread-Local"
"3-lock","642920556","400190079","500","1000","60000","Thread-Local"
