"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","93038984","74887089","50","1000","20000","Global"
"3-lock","95728638","43748655","50","1000","20000","Global"
"4-condition","28689508","22438306","100","1000","20000","Global"
"3-lock","39479734","16244120","100","1000","20000","Global"
"4-condition","153855376","142500027","150","1000","20000","Global"
"3-lock","125551670","70397676","150","1000","20000","Global"
"4-condition","178132382","175034774","200","1000","20000","Global"
"3-lock","151156276","92144683","200","1000","20000","Global"
"4-condition","158893100","152899417","250","1000","20000","Global"
"3-lock","150338062","91930609","250","1000","20000","Global"
"4-condition","193470882","192568043","300","1000","20000","Global"
"3-lock","181425892","113997893","300","1000","20000","Global"
"4-condition","21459402","17923361","350","1000","20000","Global"
"3-lock","32842386","13840167","350","1000","20000","Global"
"4-condition","231904471","225892095","400","1000","20000","Global"
"3-lock","240461121","154930927","400","1000","20000","Global"
"4-condition","233234784","236003952","450","1000","20000","Global"
"3-lock","275913853","162709472","450","1000","20000","Global"
"4-condition","232410234","236266428","500","1000","20000","Global"
"3-lock","298252650","180291822","500","1000","20000","Global"
