"typ bufora","średni czas procesora","średni czas rzeczywisty","maksymalna porcja","bufor","ilość operacji","typ random"
"4-condition","164073479","148675579","50","1000","200000","Thread-Local"
"3-lock","207157471","76697945","50","1000","200000","Thread-Local"
"4-condition","279250932","263836623","100","1000","200000","Thread-Local"
"3-lock","297962744","121328854","100","1000","200000","Thread-Local"
"4-condition","316405999","303888890","150","1000","200000","Thread-Local"
"3-lock","383999888","163094462","150","1000","200000","Thread-Local"
"4-condition","426199215","410427185","200","1000","200000","Thread-Local"
"3-lock","465512195","203106696","200","1000","200000","Thread-Local"
"4-condition","432294127","413029855","250","1000","200000","Thread-Local"
"3-lock","527150975","232230522","250","1000","200000","Thread-Local"
"4-condition","373257720","356258105","300","1000","200000","Thread-Local"
"3-lock","544175036","242651160","300","1000","200000","Thread-Local"
"4-condition","386080785","367222472","350","1000","200000","Thread-Local"
"3-lock","630875756","282812579","350","1000","200000","Thread-Local"
"4-condition","492127432","465115566","400","1000","200000","Thread-Local"
"3-lock","666436300","291720979","400","1000","200000","Thread-Local"
"4-condition","407280622","388943916","450","1000","200000","Thread-Local"
"3-lock","750020819","326192411","450","1000","200000","Thread-Local"
"4-condition","422664842","405829496","500","1000","200000","Thread-Local"
"3-lock","848388016","367790836","500","1000","200000","Thread-Local"
